trial_path,method,temp_set,query_per_class,seq_len,lr,val_accuracy,iteration
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00014_14_lr=0.0000,query_per_class=1,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",1,11,1e-05,86.80000075697899,6900
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00002_2_lr=0.0000,query_per_class=1,temp_set=2_2024-06-12_00-00-41",resnet18,[2],1,17,1e-05,86.80000072717667,9100
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00019_19_lr=0.0001,query_per_class=3,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",3,8,0.0001,86.60000076889992,4000
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00026_26_lr=0.0000,query_per_class=4,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",4,10,1e-05,86.6000007390976,9500
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00014_14_lr=0.0000,query_per_class=5,temp_set=2_2024-06-12_00-00-41",resnet18,[2],5,10,1e-05,86.40000078082085,8300
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00025_25_lr=0.0001,query_per_class=4,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",4,10,0.0001,86.40000073611736,2100
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00023_23_lr=0.0000,query_per_class=4,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",4,7,1e-05,86.40000073611736,6900
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00002_2_lr=0.0000,query_per_class=1,temp_set=2_2024-06-16_19-58-38",resnet34,[2],1,11,1e-05,86.00000083446503,9600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00016_16_lr=0.0001,query_per_class=2,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",2,9,0.0001,86.0000008046627,2200
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00010_10_lr=0.0001,query_per_class=4,temp_set=2_2024-06-16_19-58-38",resnet34,[2],4,7,0.0001,86.00000077486038,1400
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00004_4_lr=0.0001,query_per_class=2,temp_set=2_2024-06-16_19-58-38",resnet34,[2],2,10,0.0001,86.00000074505806,8500
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00005_5_lr=0.0000,query_per_class=2,temp_set=2_2024-06-16_19-58-38",resnet34,[2],2,10,1e-05,86.00000068545341,9200
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00016_16_lr=0.0001,query_per_class=1,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",1,14,0.0001,85.80000078678131,3600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00013_13_lr=0.0001,query_per_class=1,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",1,11,0.0001,85.20000085234642,2200
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00017_17_lr=0.0000,query_per_class=1,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",1,14,1e-05,85.00000078976154,9300
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00011_11_lr=0.0000,query_per_class=4,temp_set=2_2024-06-16_19-58-38",resnet34,[2],4,7,1e-05,84.60000082850456,8300
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00021_21_lr=0.0010,query_per_class=3,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",3,11,0.001,84.40000085532665,9300
