[2024-04-06 22:18:31] Options: Namespace(dataset='sp', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[75000], num_test_tasks=10000, print_freq=10, seq_len=8, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=1, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets\\splits\\surgicalphasev1TrainTestlist', path='video_datasets\\data\\surgicalphasev1_Xx256')

[2024-04-06 22:18:31] Checkpoint Directory: checkpoint

[2024-04-07 02:35:16] Task [570/100020], Train Loss: 0.0579715, Train Accuracy: 0.9500000
[2024-04-07 02:39:32] Task [580/100020], Train Loss: 0.1189043, Train Accuracy: 0.9500000
[2024-04-07 02:43:47] Task [590/100020], Train Loss: 0.1193348, Train Accuracy: 0.9500000
[2024-04-07 02:48:02] Task [600/100020], Train Loss: 0.1640386, Train Accuracy: 0.9700000
[2024-04-07 02:52:17] Task [610/100020], Train Loss: 0.1778633, Train Accuracy: 0.9000000
[2024-04-07 02:56:32] Task [620/100020], Train Loss: 0.1339099, Train Accuracy: 0.9500000
[2024-04-07 03:00:49] Task [630/100020], Train Loss: 0.2100112, Train Accuracy: 0.9299999
[2024-04-07 03:05:07] Task [640/100020], Train Loss: 0.1587623, Train Accuracy: 0.9300000
[2024-04-07 03:09:25] Task [650/100020], Train Loss: 0.1595427, Train Accuracy: 0.9600000
[2024-04-07 03:13:43] Task [660/100020], Train Loss: 0.2478374, Train Accuracy: 0.9100000
[2024-04-07 03:17:58] Task [670/100020], Train Loss: 0.3050725, Train Accuracy: 0.9200001
[2024-04-07 03:22:15] Task [680/100020], Train Loss: 0.0356666, Train Accuracy: 0.9700001
[2024-04-07 03:26:32] Task [690/100020], Train Loss: 0.2027368, Train Accuracy: 0.9100000
[2024-04-07 03:30:49] Task [700/100020], Train Loss: 0.3921056, Train Accuracy: 0.9000000
[2024-04-07 03:35:08] Task [710/100020], Train Loss: 0.2407699, Train Accuracy: 0.9200000
[2024-04-07 03:39:27] Task [720/100020], Train Loss: 0.1535911, Train Accuracy: 0.9300000
[2024-04-07 03:43:42] Task [730/100020], Train Loss: 0.1486861, Train Accuracy: 0.9500000
[2024-04-07 03:47:59] Task [740/100020], Train Loss: 0.1621198, Train Accuracy: 0.9400001
[2024-04-07 03:52:32] Task [750/100020], Train Loss: 0.0820376, Train Accuracy: 0.9700000
[2024-04-07 03:56:52] Task [760/100020], Train Loss: 0.2993932, Train Accuracy: 0.9100000
[2024-04-07 04:01:06] Task [770/100020], Train Loss: 0.0118450, Train Accuracy: 0.9899999
[2024-04-07 04:05:20] Task [780/100020], Train Loss: 0.1971687, Train Accuracy: 0.9399999
[2024-04-07 04:09:35] Task [790/100020], Train Loss: 0.1646336, Train Accuracy: 0.9399999
[2024-04-07 04:13:50] Task [800/100020], Train Loss: 0.1064990, Train Accuracy: 0.9500000
[2024-04-07 04:18:04] Task [810/100020], Train Loss: 0.1120413, Train Accuracy: 0.9399999
[2024-04-07 04:22:16] Task [820/100020], Train Loss: 0.0817421, Train Accuracy: 0.9400001
[2024-04-07 04:26:29] Task [830/100020], Train Loss: 0.1091951, Train Accuracy: 0.9700000
[2024-04-07 04:30:16] Task [840/100020], Train Loss: 0.1465589, Train Accuracy: 0.9000000
[2024-04-07 04:34:29] Task [850/100020], Train Loss: 0.1517832, Train Accuracy: 0.9500000
[2024-04-07 04:38:43] Task [860/100020], Train Loss: 0.0592157, Train Accuracy: 0.9600000
[2024-04-07 04:42:59] Task [870/100020], Train Loss: 0.1670025, Train Accuracy: 0.9300000
[2024-04-07 04:47:12] Task [880/100020], Train Loss: 0.1300289, Train Accuracy: 0.9600000
[2024-04-07 04:51:28] Task [890/100020], Train Loss: 0.1112597, Train Accuracy: 0.9399999
[2024-04-07 04:55:41] Task [900/100020], Train Loss: 0.0527706, Train Accuracy: 0.9700001
[2024-04-07 04:59:54] Task [910/100020], Train Loss: 0.2153747, Train Accuracy: 0.9200000
[2024-04-07 05:04:13] Task [920/100020], Train Loss: 0.1907602, Train Accuracy: 0.9000000
[2024-04-07 05:08:26] Task [930/100020], Train Loss: 0.2023474, Train Accuracy: 0.9399999
[2024-04-07 05:12:45] Task [940/100020], Train Loss: 0.1084280, Train Accuracy: 0.9700000
[2024-04-07 05:17:02] Task [950/100020], Train Loss: 0.1454929, Train Accuracy: 0.9600000
[2024-04-07 05:21:19] Task [960/100020], Train Loss: 0.1104485, Train Accuracy: 0.9700001
[2024-04-07 05:25:38] Task [970/100020], Train Loss: 0.1238386, Train Accuracy: 0.9700000
[2024-04-07 05:30:10] Task [980/100020], Train Loss: 0.1260450, Train Accuracy: 0.9299999
